"date","close","volume","open","high","low"
"2010/11/05","146.9200","4995776.0000","145.9400","146.9300","145.6700"
"2010/11/04","146.7900","6622497.0000","144.8200","146.8400","144.7100"
"2010/11/03","144.1700","5182047.0000","144.2400","144.4600","142.6300"
"2010/11/02","143.8400","4614221.0000","143.8500","144.7100","143.7100"
"2010/11/01","143.3200","5674536.0000","143.6400","144.2600","142.3200"
"2010/10/29","143.6000","8439229.0000","140.9000","144.0000","140.7500"
"2010/10/28","140.9000","5481544.0000","141.8400","141.9500","140.4200"
"2010/10/27","141.4300","6465253.0000","139.5200","141.5700","139.0000"
"2010/10/26","140.6700","7325672.0000","139.2900","142.0000","138.5300"
"2010/10/25","139.8400","4863317.0000","140.4200","141.4000","139.8100"
"2010/10/22","139.6700","4104812.0000","140.1500","140.7500","139.4600"
"2010/10/21","139.8300","6221102.0000","139.8100","140.4900","138.4000"
"2010/10/20","139.0700","6945347.0000","138.2800","139.8700","138.1300"
"2010/10/19","138.0300","14159040.0000","137.3000","139.3400","136.7000"
"2010/10/18","142.8300","10308090.0000","140.9000","143.0300","140.8400"
"2010/10/15","141.0600","7219940.0000","142.1000","142.1000","140.5400"
"2010/10/14","141.5000","5653013.0000","140.3500","141.5000","139.6900"
"2010/10/13","140.3700","8784205.0000","139.9100","141.4800","139.7800"
"2010/10/12","139.8500","5637248.0000","138.4000","139.9900","138.2700"
"2010/10/11","139.6600","4004266.0000","138.7900","139.9400","138.6400"
"2010/10/08","138.8500","4540720.0000","138.4000","139.0900","138.0600"
"2010/10/07","138.7200","6418401.0000","137.9200","138.8800","137.5200"
"2010/10/06","137.8400","4782906.0000","136.8800","137.9600","136.8300"
"2010/10/05","137.6600","6167550.0000","136.1800","137.9015","136.1200"
"2010/10/04","135.2500","4059588.0000","135.2300","135.9200","134.3900"
"2010/10/01","135.6400","5604432.0000","135.5100","136.2800","135.0900"
"2010/09/30","134.1400","6425577.0000","135.5000","136.1100","133.6700"
"2010/09/29","135.4800","5151159.0000","134.4000","135.8050","134.3400"
"2010/09/28","134.8900","7481213.0000","134.6700","135.1400","133.7100"
"2010/09/27","134.6500","6150191.0000","133.5100","135.0000","133.5100"
"2010/09/24","134.1100","7078066.0000","132.4200","134.1500","132.3400"
"2010/09/23","131.6700","3890570.0000","131.4200","132.7800","131.2200"
"2010/09/22","132.5700","4916238.0000","131.6100","132.5800","131.4000"
"2010/09/21","131.9800","5267866.0000","131.4500","132.8000","130.7800"
"2010/09/20","131.7900","7145442.0000","130.2400","132.0900","130.1100"
"2010/09/17","130.1900","10397360.0000","129.9200","130.6000","129.7000"
"2010/09/16","129.6700","4684672.0000","129.2000","129.9500","128.8000"
"2010/09/15","129.4300","4761857.0000","128.6500","129.9600","128.5400"
"2010/09/14","128.8500","4849369.0000","128.4300","129.9200","128.4300"
"2010/09/13","129.6100","5271009.0000","128.6300","130.0000","128.5200"
"2010/09/10","127.9900","4418336.0000","126.9900","128.2900","126.2600"
"2010/09/09","126.3600","3436665.0000","127.2700","127.5700","126.1500"
"2010/09/08","126.0800","4477462.0000","126.0200","126.5199","125.3900"
"2010/09/07","125.9500","4353160.0000","126.9900","127.3600","125.8801"
"2010/09/03","127.5800","5142640.0000","126.2200","127.6000","125.9001"
"2010/09/02","125.0400","5103298.0000","126.0300","126.2300","124.6500"
"2010/09/01","125.7700","5622915.0000","125.3100","126.3100","124.5200"
"2010/08/31","123.1300","5624125.0000","123.3100","123.9900","122.2800"
"2010/08/30","123.4000","3603963.0000","125.0800","125.2699","123.4000"
"2010/08/27","124.7300","6213302.0000","123.8300","124.8000","122.4200"
"2010/08/26","122.7800","7739487.0000","125.7800","125.7800","122.7800"
"2010/08/25","125.2700","5238382.0000","124.5700","125.6000","124.0000"
"2010/08/24","124.9000","5581681.0000","125.2100","126.0200","124.5700"
"2010/08/23","126.4700","4031491.0000","127.5700","128.0300","126.4400"
"2010/08/20","127.5000","6246079.0000","128.7200","128.9800","126.9600"
"2010/08/19","128.9000","5400352.0000","128.6700","129.5900","128.0200"
"2010/08/18","129.3925","4882000.0000","128.8700","130.1950","127.8000"
"2010/08/17","128.4500","4297756.0000","128.8300","129.8500","127.9050"
"2010/08/16","127.7700","4009130.0000","127.4700","128.2300","126.9600"
"2010/08/13","127.8700","4669342.0000","127.9600","128.4600","127.3300"
"2010/08/12","128.3000","5132091.0000","127.6900","128.7800","127.5200"
"2010/08/11","129.8300","6193104.0000","130.6900","130.6900","129.4610"
"2010/08/10","131.8400","5350093.0000","131.1800","132.4900","130.7700"
"2010/08/09","132.0000","6128881.0000","130.7900","132.3400","130.4000"
"2010/08/06","130.1400","6133480.0000","130.4100","130.4800","128.7600"
"2010/08/05","131.8300","4520505.0000","130.7300","131.9800","130.5300"
"2010/08/04","131.2700","4567470.0000","130.4600","131.5000","129.8500"
"2010/08/03","130.3700","5091753.0000","130.0300","131.0400","129.3300"
"2010/08/02","130.7600","6390057.0000","129.2500","131.2000","129.2500"
"2010/07/30","128.4000","6020927.0000","127.4300","128.9800","127.0400"
"2010/07/29","128.0200","8994171.0000","129.0600","129.5000","127.1400"
"2010/07/28","128.4300","4247717.0000","128.6700","129.3500","127.8800"
"2010/07/27","128.6300","4641171.0000","128.7800","129.1700","127.8900"
"2010/07/26","128.4100","5161821.0000","128.1800","128.4300","127.1400"
"2010/07/23","128.3800","5058669.0000","127.3000","128.8000","127.0000"
"2010/07/22","127.4700","6859424.0000","126.3200","127.7800","126.0500"
"2010/07/21","125.2700","8568673.0000","126.4400","126.5000","124.6200"
"2010/07/20","126.5500","16294450.0000","122.9700","126.5600","122.9300"
"2010/07/19","129.7900","8349433.0000","128.6700","130.3800","128.3700"
"2010/07/16","128.0300","7002354.0000","129.9600","130.1500","127.8500"
"2010/07/15","130.7200","6186339.0000","129.8700","130.9200","129.5500"
"2010/07/14","130.7200","6574906.0000","129.3200","131.6000","129.1400"
"2010/07/13","130.4800","6662751.0000","128.9700","130.9800","128.6900"
"2010/07/12","128.6700","4209577.0000","127.3700","128.8300","127.1600"
"2010/07/09","127.9600","3897964.0000","127.9000","128.2000","127.2900"
